URL Scheme          | `ls` | `get` | `put` | `rm` | `clear`
`opendal+azblob`    |  ✓   |   ✓   |   ✓   |  ✓   |    x
`opendal+fs`        |  ✓   |   ✓   |   ✓   |  ✓   |    ✓
`opendal+ftp`       |  ✓   |   ✓   |   ✓   |  ✓   |    ✓
`opendal+memcached` |  x   |   ✓   |   ✓   |  ✓   |    x
`opendal+memory`    |  ✓   |   ✓   |   ✓   |  ✓   |    ✓
`opendal+mongodb`   |  x   |   ✓   |   ✓   |  ✓   |    x
`opendal+gcs`       |  ✓   |   ✓   |   ✓   |  ✓   |    ✓
`opendal+http`      |  x   |   ✓   |   x   |  x   |    x
`opendal+redis`     |  x   |   ✓   |   ✓   |  ✓   |    x
`opendal+s3`        |  ✓   |   ✓   |   ✓   |  ✓   |    ✓
`opendal+sftp`      |  ✓   |   ✓   |   ✓   |  ✓   |    ?
`opendal+sled`      |  ✓   |   ✓   |   ✓   |  ✓   |    ✓
